Time (s),zeta=0.0,zeta=0.05,zeta=0.5,zeta=2.0
0,1.0539168800811237e-06,1.0522504911783465e-06,1.0372529910533496e-06,9.87261323970026e-07
4,-0.3059277833261107,-0.1738171283800932,-0.02434898743076567,-0.006079694215532238
8,-0.579877024896577,-0.21172416013033402,-0.023082556142810517,-0.005770628887871801
12,-0.7979707395899639,-0.20671990459000794,-0.02118555784932494,-0.005296387134682422
16,-0.9389521907380143,-0.18574624474872897,-0.018709744350381266,-0.004677433092096124
20,-0.9851825427613822,-0.15688106162017176,-0.015722757881959797,-0.0039306858792507535
