Time (s),zeta=0.0,zeta=0.05,zeta=0.5,zeta=2.0
10,-0.6973080544373745,-0.21217066474579557,-0.022210037615969323,-0.005552507160759264
12,-0.7979707395899639,-0.20671990459000794,-0.02118555784932494,-0.005296387134682422
14,-0.8792985539407183,-0.1975193621456443,-0.020016126341155918,-0.005004028919147914
16,-0.9389521907380143,-0.18574624474872897,-0.018709744350381266,-0.004677433092096124
18,-0.9748477662815679,-0.17206680081802814,-0.01727535015212265,-0.004318834233361366
20,-0.9851825427613822,-0.15688106162017176,-0.015722757881959797,-0.0039306858792507535
